Date,Close,yhat
6/29/2010,1.59,(2.63)
6/30/2010,1.59,(2.08)
7/1/2010,1.46,(2.05)
7/2/2010,1.28,(1.83)
7/6/2010,1.07,0.15
7/7/2010,1.05,0.55
7/8/2010,1.16,0.39
7/9/2010,1.16,0.39
7/12/2010,1.14,1.71
7/13/2010,1.21,1.28
7/14/2010,1.32,1.38
7/15/2010,1.33,0.92
7/16/2010,1.38,0.63
7/19/2010,1.46,1.17
7/20/2010,1.35,0.53
7/21/2010,1.35,0.45
7/22/2010,1.4,(0.15)
7/23/2010,1.42,(0.55)
7/26/2010,1.4,(0.10)
7/27/2010,1.37,(0.70)
7/28/2010,1.38,(0.70)
7/29/2010,1.36,(1.19)
7/30/2010,1.33,(1.45)
8/2/2010,1.39,(0.49)
8/3/2010,1.46,(0.89)
8/4/2010,1.42,(0.70)
8/5/2010,1.36,(1.02)
8/6/2010,1.31,(1.11)
8/9/2010,1.31,0.26
8/10/2010,1.27,(0.05)
8/11/2010,1.19,0.20
8/12/2010,1.17,(0.08)
8/13/2010,1.22,(0.16)
8/16/2010,1.25,1.11
8/17/2010,1.28,0.71
8/18/2010,1.25,0.88
8/19/2010,1.25,0.52
8/20/2010,1.27,0.34
8/23/2010,1.34,1.35
8/24/2010,1.28,0.90
8/25/2010,1.33,1.03
8/26/2010,1.32,0.64
8/27/2010,1.31,0.46
8/30/2010,1.32,1.61
8/31/2010,1.3,1.25
9/1/2010,1.36,1.49
9/2/2010,1.4,1.22
9/3/2010,1.4,1.18
9/7/2010,1.37,2.50
9/8/2010,1.39,2.84
9/9/2010,1.38,2.66
9/10/2010,1.34,2.67
9/13/2010,1.38,4.21
9/14/2010,1.41,3.88
9/15/2010,1.47,4.10
9/16/2010,1.4,3.76
9/17/2010,1.35,3.57
9/20/2010,1.4,4.33
9/21/2010,1.38,3.70
9/22/2010,1.32,3.60
9/23/2010,1.3,2.93
9/24/2010,1.34,2.42
9/27/2010,1.37,2.29
9/28/2010,1.43,1.41
9/29/2010,1.47,1.10
9/30/2010,1.36,0.26
10/1/2010,1.37,(0.36)
10/4/2010,1.4,(0.55)
10/5/2010,1.41,(1.34)
10/6/2010,1.36,(1.51)
10/7/2010,1.36,(2.16)
10/8/2010,1.36,(2.56)
10/11/2010,1.35,(1.85)
10/12/2010,1.35,(2.29)
10/13/2010,1.37,(2.11)
10/14/2010,1.38,(2.40)
10/15/2010,1.37,(2.44)
10/18/2010,1.35,(0.78)
10/19/2010,1.34,(0.97)
10/20/2010,1.38,(0.57)
10/21/2010,1.38,(0.68)
10/22/2010,1.38,(0.60)
10/25/2010,1.39,1.17
10/26/2010,1.42,0.93
10/27/2010,1.4,1.24
10/28/2010,1.41,1.00
10/29/2010,1.46,0.93
11/1/2010,1.43,2.13
11/2/2010,1.42,1.69
11/3/2010,1.45,1.80
11/4/2010,1.66,1.38
11/5/2010,1.63,1.14
11/8/2010,1.67,2.01
11/9/2010,1.64,1.52
11/10/2010,1.96,1.63
11/11/2010,1.87,1.23
11/12/2010,1.99,1.05
11/15/2010,2.05,2.28
11/16/2010,1.98,1.96
11/17/2010,1.97,2.24
11/18/2010,1.99,2.03
11/19/2010,2.07,2.04
11/22/2010,2.23,3.73
11/23/2010,2.3,3.52
11/24/2010,2.36,3.88
11/26/2010,2.35,3.71
11/29/2010,2.29,5.16
11/30/2010,2.36,4.78
12/1/2010,2.29,4.94
12/2/2010,2.16,4.53
12/3/2010,2.1,4.28
12/6/2010,2.02,4.85
12/7/2010,2.1,4.18
12/8/2010,2.16,4.05
12/9/2010,2.14,3.38
12/10/2010,2.1,2.89
12/13/2010,2.04,2.98
12/14/2010,1.9,2.24
12/15/2010,1.97,2.09
12/16/2010,2.05,1.46
12/17/2010,2.09,1.05
12/20/2010,2.11,1.70
12/21/2010,2.15,1.23
12/22/2010,2.18,1.38
12/23/2010,2.01,1.07
12/27/2010,1.7,2.66
12/28/2010,1.76,2.49
12/29/2010,1.85,2.92
12/30/2010,1.77,2.83
12/31/2010,1.78,2.96
1/3/2011,1.77,4.86
1/4/2011,1.78,4.66
1/5/2011,1.79,5.00
1/6/2011,1.86,4.77
1/7/2011,1.88,4.70
1/10/2011,1.9,5.76
1/11/2011,1.8,5.22
1/12/2011,1.8,5.20
1/13/2011,1.75,4.62
1/14/2011,1.72,4.19
1/18/2011,1.71,3.53
1/19/2011,1.6,3.32
1/20/2011,1.51,2.60
1/21/2011,1.54,2.09
1/24/2011,1.63,2.33
1/25/2011,1.65,1.71
1/26/2011,1.65,1.71
1/27/2011,1.66,1.24
1/28/2011,1.6,1.03
1/31/2011,1.61,2.32
2/1/2011,1.59,2.06
2/2/2011,1.6,2.41
2/3/2011,1.58,2.27
